558 	 Ananthagiri|అనంతగిరి
559 	 Athmakur (S)|ఆత్మకూరు (సూ)
560 	 Chilkur|చిలుకూరు
561 	 Chinthalapalem (Mallareddygudem)|చింతలపాలెం (మల్లారెడ్డి గూడెం)
562 	 Chivvemla|చివ్వేంల
563 	 Garide Palle|గరిడేపల్లి
564 	 Huzurnagar|హుజుర్ నగర్
565 	 Jajireddy Gudem|జాజిరెడ్డిగూడెం
566 	 Kodad|కోదాడ్
567 	 Maddirala|మద్దిరాల
568 	 Mattampalle|మట్టంపల్లి
569 	 Mellacheruvu|మేళ్ళచెరువు
570 	 Mothey|మోతె
571 	 Munagala|మునగాల
572 	 Nadigudem|నడిగూడెం
573 	 Nagaram|నాగారం
574 	 Nereducherla|నేరేడ్ చర్ల
575 	 Noothanakal|నూతనకల్లు
576 	 Palakeedu|పాలకీడు
577 	 Penpahad|పెనుపహడ్
578 	 Suryapet|సూర్యాపేట
579 	 Thirumalagiri|తిర్మలగిరి
580 	 Thungathurthy|తుంగతుర్తి